Target: SC

Observer: Paipa
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
08 Jul 2026 10:33:55.110    08 Jul 2026 10:40:26.578      391.46837618    
08 Jul 2026 22:12:41.090    08 Jul 2026 22:17:55.538      314.44798984    
08 Jul 2026 23:50:21.442    08 Jul 2026 23:53:20.907      179.46560868    
09 Jul 2026 09:45:16.629    09 Jul 2026 09:51:34.760      378.13049527    
09 Jul 2026 23:00:08.705    09 Jul 2026 23:05:56.739      348.03408212    
10 Jul 2026 08:57:15.616    10 Jul 2026 09:02:02.052      286.43589921    
10 Jul 2026 10:34:26.757    10 Jul 2026 10:37:51.031      204.27351482    
10 Jul 2026 22:10:57.073    10 Jul 2026 22:17:35.977      398.90398228    
11 Jul 2026 09:44:27.049    11 Jul 2026 09:50:21.786      354.73747503    
11 Jul 2026 21:22:20.639    11 Jul 2026 21:28:42.603      381.96348406    
12 Jul 2026 08:55:21.827    12 Jul 2026 09:01:57.976      396.14830170    
12 Jul 2026 20:34:25.537    12 Jul 2026 20:39:08.640      283.10300263    
12 Jul 2026 22:11:24.430    12 Jul 2026 22:15:13.301      228.87082910    
13 Jul 2026 08:06:49.565    13 Jul 2026 08:12:59.286      369.72164145    
13 Jul 2026 21:21:29.977    13 Jul 2026 21:27:32.022      362.04499234    
14 Jul 2026 07:18:58.861    14 Jul 2026 07:23:15.232      256.37129853    
14 Jul 2026 08:55:31.342    14 Jul 2026 08:59:44.544      253.20126222    
14 Jul 2026 20:32:25.856    14 Jul 2026 20:39:04.531      398.67554986    


Number of events : 18


