Target: SC

Observer: Paipa
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
08 Jul 2026 14:47:51.169    08 Jul 2026 14:56:58.187      547.01828936    
09 Jul 2026 03:10:56.270    09 Jul 2026 03:20:13.324      557.05452855    
09 Jul 2026 15:28:11.560    09 Jul 2026 15:37:01.467      529.90612860    
10 Jul 2026 02:14:46.078    10 Jul 2026 02:22:13.613      447.53447062    
10 Jul 2026 03:52:41.512    10 Jul 2026 03:58:55.007      373.49529548    
10 Jul 2026 14:31:21.781    10 Jul 2026 14:39:36.471      494.69031020    
10 Jul 2026 16:10:42.674    10 Jul 2026 16:14:45.439      242.76532475    
11 Jul 2026 02:53:56.580    11 Jul 2026 03:03:23.050      566.46952098    
11 Jul 2026 15:11:02.470    11 Jul 2026 15:20:21.473      559.00298440    
12 Jul 2026 01:59:10.607    12 Jul 2026 02:04:04.479      293.87232978    
12 Jul 2026 03:34:48.350    12 Jul 2026 03:42:57.204      488.85350948    
12 Jul 2026 14:15:18.621    12 Jul 2026 14:21:48.266      389.64460627    
12 Jul 2026 15:52:20.407    12 Jul 2026 15:59:22.984      422.57793196    
13 Jul 2026 02:37:13.915    13 Jul 2026 02:46:16.871      542.95577336    
13 Jul 2026 14:54:09.482    13 Jul 2026 15:03:24.209      554.72726673    
14 Jul 2026 03:17:23.733    14 Jul 2026 03:26:31.059      547.32581887    
14 Jul 2026 14:00:29.943    14 Jul 2026 14:02:45.716      135.77374178    
14 Jul 2026 15:34:43.312    14 Jul 2026 15:43:13.133      509.82142406    
15 Jul 2026 02:20:51.008    15 Jul 2026 02:28:52.469      481.46022329    
15 Jul 2026 03:59:35.083    15 Jul 2026 04:04:46.786      311.70216731    


Number of events : 20


